date,ticker,open,high,low,close,volume,price_delta_1d,price_delta_5d,rsi_14,ma_cross,price_vs_ma20,volume_spike_zscore,sentiment_news,sentiment_social,sentiment_divergence,label
2024-05-02,JIOFIN,377.0,381.3500061035156,372.5,379.6499938964844,19658850,0.0070291615291362,-0.0057614565192251,56.855985385178045,1,0.0196531087023654,-0.8070406025785641,0.0,0.0,0.1406,HOLD
2024-05-02,JSWSTEEL,883.0,894.5999755859375,883.0,890.3499755859375,2448369,0.0092382263275163,0.0086665495333786,54.253307567699075,1,0.0213480846654117,-0.2522306657943793,0.0,0.0,0.1848,SELL
2024-05-02,KOTAKBANK,318.0,318.8999938964844,310.4800109863281,315.1300048828125,133202390,-0.0297423055142205,-0.1449695925485969,28.26846685227683,-1,-0.0985403614118812,1.0669716961400495,0.0,0.0,0.5948,SELL
2024-05-02,LT,3590.050048828125,3634.14990234375,3576.050048828125,3599.5,3748847,0.0014467215038349,-0.0097253247607222,32.875452516491364,-1,-0.0180485941384005,1.9769486063190864,0.0,0.0,0.0289,SELL
2024-05-02,M&M,2165.10009765625,2204.0,2165.10009765625,2185.14990234375,3347541,0.0133558111545999,0.0615511448795462,61.94701630967273,1,0.0596464412440018,0.3790555104636731,0.0,0.0,0.2671,HOLD
2024-05-02,MARUTI,12750.0,12844.150390625,12514.7998046875,12805.349609375,814923,-0.0009479532377608,-0.0107153632290778,47.92622482453501,1,0.0107728422263209,1.3880985691692027,0.0,0.0,0.019,SELL
2024-05-02,MAXHEALTH,832.5,834.0,810.5499877929688,814.9000244140625,1579718,-0.0302272566320258,0.0048089080321362,47.56931898204683,1,0.0008720668140917,-0.2457245487688863,0.0,0.0,0.6045,HOLD
2024-05-02,NESTLEIND,1253.699951171875,1270.5,1252.5,1256.1500244140625,2223826,0.0019542740189926,0.0048597671975527,51.16364471515346,-1,-0.0023458933787295,-0.2011502790967597,0.0,0.0,0.0391,SELL
2024-05-02,NTPC,363.2000122070313,372.6000061035156,363.2000122070313,369.0499877929687,27892188,0.0161067604331544,0.0494810015597679,55.851562087134425,1,0.0351815635519714,1.2899731525946323,0.0,0.0,0.3221,SELL
2024-05-02,ONGC,281.0,284.6000061035156,279.04998779296875,282.79998779296875,15677336,-0.0001768368727861,0.012350032626005,65.30384042645028,1,0.0244705991501179,-0.3505448280603321,0.0,0.0,0.0035,BUY
2024-05-02,POWERGRID,301.95001220703125,317.25,301.8500061035156,313.6000061035156,44059506,0.0389266183946024,0.0798898508768601,81.45632339407817,1,0.1002350891014141,2.228179006702762,0.0,0.0,0.7785,HOLD
2024-05-02,RELIANCE,1472.0,1477.324951171875,1464.125,1466.550048828125,14512646,-0.0003067151819189,0.0112917402717915,51.31401516618085,-1,-0.0004225456430582,0.8700303730189295,0.0,0.0,0.0061,SELL
2024-05-02,SBILIFE,1416.3499755859375,1464.75,1416.3499755859375,1460.9000244140625,2194261,0.016950314822516,0.000582155102573,37.37604417746717,-1,-0.0036572494681713,0.7907373593516821,0.0,0.0,0.339,SELL
2024-05-02,SBIN,826.9000244140625,833.9000244140625,825.0,830.0499877929688,19943724,0.004599077510401,0.0736644858433328,70.88486057350195,1,0.0673962138031614,0.5484755494924272,0.0,0.0,0.092,HOLD
2024-05-02,SHRIRAMFIN,509.30999755859375,519.7999877929688,507.0,516.4199829101562,9243475,0.0119135999841175,0.049186306404525,53.845219855089574,1,0.0399888545383833,0.3957755503408437,0.0,0.0,0.2383,HOLD
2024-05-02,SUNPHARMA,1503.0,1530.0,1502.0,1519.0,2494925,0.0112509318212792,0.0223792697290929,34.467361220167774,-1,-0.0204250153182969,-0.1864828370440407,0.0,0.0,0.225,HOLD
2024-05-02,TATACONSUM,1114.0,1114.0,1081.0999755859375,1091.1500244140625,3423995,-0.0155185199176659,-0.0171148039293411,40.907890090800606,-1,-0.0319024376713821,0.523141113419737,0.0,0.0,0.3104,HOLD
2024-05-02,TATASTEEL,165.0,168.89999389648438,165.0,167.35000610351562,69320283,0.0142424612334279,0.0108728663157744,52.842118112664465,1,0.0205357622694581,1.2683669667843092,0.0,0.0,0.2848,HOLD
2024-05-02,TCS,3778.050048828125,3871.10009765625,3778.050048828125,3863.300048828125,2491044,0.0111630606243748,0.0084180576053463,41.92138972414571,-1,-0.0096521179352264,-0.0652036631276953,0.0,0.0,0.2233,HOLD
2024-05-02,TECHM,1263.199951171875,1274.3499755859375,1253.5,1266.9000244140625,2124221,0.0026909571935596,0.0684828173956946,52.73754526427263,1,0.024620744669298,-0.220153920078511,0.0,0.0,0.0538,SELL
2024-05-02,TITAN,3585.0,3598.0,3546.300048828125,3568.449951171875,1435891,-0.0057950961421258,-0.0114412490693607,39.89058390414541,-1,-0.0204235861443223,0.9868717300016996,0.0,0.0,0.1159,HOLD
2024-05-02,TRENT,4409.89990234375,4676.7001953125,4395.10009765625,4646.7001953125,1998618,0.0536974303754369,0.1006573566204773,88.33494609973737,1,0.127695462541558,0.8651533852947806,0.0,0.0,1.0,SELL
2024-05-02,ULTRACEMCO,9971.849609375,10045.0,9946.5,9983.4501953125,318855,0.0011633334227778,0.0336065472665025,59.03837963805788,1,0.0252535704298064,-0.4138723666015728,0.0,0.0,0.0233,SELL
2024-05-02,WIPRO,231.1999969482422,231.5,227.7250061035156,228.6999969482422,14937276,-0.010813148931657,-0.0054359644122167,36.123688676600715,-1,-0.0203207541506585,0.1166625484266708,0.0,0.0,0.2163,HOLD
2024-05-03,JIOFIN,380.5499877929687,385.8500061035156,374.3500061035156,375.8999938964844,21862920,-0.0098775189260834,-0.0167407640618345,53.091311438916854,1,0.0070390713090753,-0.6306554881395269,0.0,0.0,0.1976,SELL
2024-05-03,JSWSTEEL,895.8499755859375,903.7000122070312,866.0,874.2000122070312,3672279,-0.0181388934932895,-0.0348862618809838,47.46027546751765,1,0.0031125119617754,0.9900774667326504,0.0,0.0,0.3628,HOLD
2024-05-03,KOTAKBANK,316.6000061035156,317.5799865722656,308.7699890136719,309.3399963378906,80617945,-0.01837339655129,-0.0582970393795592,19.32327567854975,-1,-0.1097373765780272,0.2931769452562239,0.0,0.0,0.3675,BUY
2024-05-03,LT,3610.0,3622.0,3488.449951171875,3499.800048828125,4079696,-0.027698277864113,-0.0417545102979507,29.22951620133196,-1,-0.041224225965461,2.236743385125332,0.0,0.0,0.554,SELL
2024-05-03,M&M,2210.0,2210.0,2172.35009765625,2193.0,3859227,0.0035924755769982,0.0458544473213518,65.06708196597401,1,0.0577837928874385,0.9527796340917511,0.0,0.0,0.0718,BUY
2024-05-03,MARUTI,12817.9501953125,12830.0,12411.400390625,12492.150390625,834990,-0.0244584668364463,-0.0333023493422325,45.46342878447393,1,-0.0137143914717684,1.3337837219659718,0.0,0.0,0.4892,HOLD
2024-05-03,MAXHEALTH,818.6500244140625,827.8499755859375,805.4500122070312,813.4500122070312,3294764,-0.001779374357086,0.0124463250333777,39.53536989636823,1,-0.0004116386423532,1.4792852688392129,0.0,0.0,0.0356,BUY
2024-05-03,NESTLEIND,1257.550048828125,1261.5250244140625,1218.125,1228.050048828125,2257460,-0.0223699200253129,-0.0415779793369557,41.86760872197189,-1,-0.0214146078415622,-0.2085552606538483,0.0,0.0,0.4474,HOLD
2024-05-03,NTPC,372.2999877929687,380.3999938964844,360.3500061035156,364.9500122070313,26844664,-0.0111095399581409,0.0160077945562149,52.177788628472285,1,0.0207963704674982,1.045675597790341,0.0,0.0,0.2222,SELL
2024-05-03,ONGC,284.0,292.95001220703125,284.0,286.1000061035156,28913016,0.0116690892962936,0.0147188995098788,65.49450180925521,1,0.0338784154880924,0.2906373578495505,0.0,0.0,0.2334,SELL
2024-05-03,POWERGRID,312.0,316.1000061035156,308.25,310.8500061035156,27074447,-0.0087691324823898,0.05983640995899,76.748602623589,1,0.0846316454736437,0.6799068625009017,0.0,0.0,0.1754,SELL
2024-05-03,RELIANCE,1471.0,1474.949951171875,1416.1500244140625,1434.0,17226958,-0.0221949798809353,-0.0177913841129454,32.05355237276697,-1,-0.0208412623291727,1.4555844003038452,0.0,0.0,0.4439,SELL
