date,open,high,low,close,volume
2025-12-24,1660.0000,1667.7000,1652.2500,1662.4000,243609
2025-12-25,1662.4000,1662.4000,1662.4000,1662.4000,0
2025-12-26,1658.3000,1668.3000,1651.1500,1655.5500,206425
2025-12-29,1655.5500,1672.0000,1638.0000,1645.5000,153008
2025-12-30,1640.0000,1648.0000,1618.5000,1624.4000,230266
2025-12-31,1623.9500,1628.9500,1609.9000,1616.4500,331554
2026-01-01,1608.9500,1639.4000,1608.9500,1629.5000,484748
2026-01-02,1633.0500,1643.2000,1628.0000,1640.6500,139635
2026-01-05,1632.0500,1636.6500,1583.5000,1606.4000,322979
2026-01-06,1601.5000,1619.8500,1599.0000,1611.1500,220594
2026-01-07,1613.0500,1642.0000,1613.0500,1638.9000,312847
2026-01-08,1636.1000,1644.1500,1608.8000,1613.1500,526375
2026-01-09,1607.2000,1630.9000,1607.2000,1614.7500,172509
2026-01-12,1603.1500,1612.8500,1592.3500,1595.9500,305622
2026-01-13,1606.2000,1616.0000,1586.5500,1597.9500,256066
2026-01-14,1589.9500,1616.2000,1583.7500,1599.0500,600427
2026-01-15,1599.0500,1599.0500,1599.0500,1599.0500,0
2026-01-16,1670.3000,1693.0000,1654.5500,1689.4000,808316
2026-01-19,1689.2000,1689.2000,1666.4500,1680.3500,195927
2026-01-20,1674.0000,1679.5000,1652.6500,1657.7000,272328
2026-01-21,1644.9500,1658.4000,1631.0000,1654.6000,228866
2026-01-22,1666.1500,1670.9000,1653.5500,1663.3500,263908
2026-01-23,1650.3500,1676.7000,1650.3500,1670.6000,399514
2026-01-26,1670.6000,1670.6000,1670.6000,1670.6000,0
2026-01-27,1683.0000,1689.0000,1661.2500,1683.4000,492611
2026-01-28,1675.2500,1688.6500,1650.0000,1666.4000,374328
2026-01-29,1659.0000,1664.7000,1641.6000,1657.7000,545656
2026-01-30,1650.0500,1652.8500,1617.3500,1640.4500,244007
2026-02-02,1660.0000,1660.7500,1618.0000,1629.0000,310284
2026-02-03,1703.0000,1727.8500,1653.0000,1654.9500,336120
2026-02-04,1580.3500,1584.0000,1510.1000,1535.9000,1355424
2026-02-05,1530.0000,1551.0000,1515.7500,1519.8000,642619
2026-02-06,1518.2000,1523.3500,1480.1500,1506.9000,368330
2026-02-09,1515.4000,1527.8000,1493.0000,1497.0500,347778
2026-02-10,1497.0500,1516.0500,1491.0500,1498.7000,222457
2026-02-11,1498.4000,1505.9000,1469.0000,1472.4000,368572
2026-02-12,1433.9500,1434.9500,1381.0000,1387.2000,1366397
2026-02-13,1298.0000,1377.0000,1281.5500,1369.5000,2817503
2026-02-16,1384.8500,1384.8500,1339.0000,1366.2500,834292
2026-02-17,1370.0000,1430.9500,1366.7000,1391.2000,1811853
2026-02-18,1397.5500,1400.5500,1345.2000,1373.5500,1093343
2026-02-19,1384.7000,1401.8500,1363.9000,1369.6000,670346
2026-02-20,1355.0500,1365.7500,1338.8500,1352.7500,596719
2026-02-23,1354.0000,1354.0000,1318.5500,1328.4500,535284
2026-02-24,1304.9500,1304.9500,1265.0000,1276.5500,1622178
2026-02-25,1285.0000,1323.4500,1285.0000,1290.3500,1098396
2026-02-26,1304.0000,1314.3000,1286.2000,1289.3500,569573
2026-02-27,1319.4000,1335.0000,1296.0000,1299.9500,708313
2026-03-02,1276.5000,1298.8500,1273.0000,1288.1500,374931
2026-03-04,1285.1500,1316.8500,1285.1500,1307.5000,474704
2026-03-05,1315.9500,1319.3500,1290.3000,1304.9000,366996
2026-03-06,1304.8500,1327.1500,1304.0000,1308.2500,222654
2026-03-09,1294.5500,1317.2500,1282.5000,1314.3500,226288
2026-03-10,1319.0000,1321.7500,1284.3000,1295.5500,218689
2026-03-11,1294.0000,1299.0000,1272.0000,1276.3500,587976
2026-03-12,1273.9500,1278.6000,1257.8000,1265.8500,678263
2026-03-13,1253.0000,1269.6000,1243.1000,1248.5000,362194
2026-03-16,1244.7500,1253.6500,1225.0000,1249.6000,426450
2026-03-17,1249.5000,1249.5000,1215.1500,1232.5000,340022
2026-03-18,1239.7000,1290.6000,1236.1500,1267.4500,448968
2026-03-19,1240.8000,1255.0000,1215.2500,1220.6500,762931
2026-03-20,1240.8000,1264.0000,1229.3000,1254.6000,324038
2026-03-23,1249.6000,1261.0000,1227.5500,1258.1000,532794
2026-03-24,1269.9500,1296.7000,1250.6500,1278.2000,654550
2026-03-25,1277.8500,1290.4000,1258.3000,1279.3500,1045824
2026-03-27,1278.0000,1295.0000,1263.7000,1270.0000,572992
2026-03-30,1245.3000,1265.0000,1242.8000,1251.2000,645516
2026-04-01,1284.0000,1303.2000,1269.7000,1276.2500,433015
2026-04-02,1260.0000,1305.0000,1260.0000,1300.4500,917797
